csv-deviceId,csv-deviceIP,csv-host-name,/55/LAN_VPN_55_if_name/interface/if-name,/55/LAN_VPN_55_if_name/interface/ip/address,/55//router/bgp/as-num,/55//router/bgp/neighbor/bgp_VPN55_neighbor_address/address,/55//router/bgp/neighbor/bgp_VPN55_neighbor_address/remote-as,/33/LAN_VPN_33_if_name/interface/if-name,/33/LAN_VPN_33_if_name/interface/ip/address,/33//router/bgp/as-num,/33//router/bgp/neighbor/bgp_VPN33_neighbor_address/address,/33//router/bgp/neighbor/bgp_VPN33_neighbor_address/remote-as,/11/LAN_VPN_11_if_name/interface/if-name,/11/LAN_VPN_11_if_name/interface/ip/address,/11//router/bgp/as-num,/11//router/bgp/neighbor/bgp_VPN11_neighbor_address/address,/11//router/bgp/neighbor/bgp_VPN11_neighbor_address/remote-as,/0/LAN_MAIN_for_SUB_INT/interface/if-name,/0/Cellular_VPN_0_if_name/interface/if-name,/0/INET_VPN_0_if_name/interface/if-name,/0/MPLS_VPN_0_if_name/interface/if-name,//system/host-name,//system/system-ip,//system/site-id
"C8K-B7E14C38-F84F-D217-8014-8A338115CF9B","11.11.11.1","DC-1-R1","GigabitEthernet4.55","172.50.155.2/24","65111","172.50.155.1","65111","GigabitEthernet4.33","172.50.133.2/24","65111","172.50.133.1","65111","GigabitEthernet4.11","172.50.111.2/24","65111","172.50.111.1","65111","GigabitEthernet4","GigabitEthernet3","GigabitEthernet2","GigabitEthernet1","DC-1-R1","11.11.11.1","11"
"C8K-E2AFA37C-21A0-4345-F226-A6EB11C1C5DC","22.22.22.1","DC-2-R1","GigabitEthernet4.55","172.50.205.2/24","65222","172.50.205.1","65222","GigabitEthernet4.33","172.50.233.2/24","65222","172.50.233.1","65222","GigabitEthernet4.11","172.50.211.2/24","65222","172.50.211.1","65222","GigabitEthernet4","GigabitEthernet3","GigabitEthernet2","GigabitEthernet1","DC-2-R1","22.22.22.1","22"
